env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
203,0.0001,99,100,0.5,1,100,100,0.01,-0.59139,0.0478222
204,0.0211856,3,92.4814,0.307254,1,34.5386,84.8047,86.9096,-0.615358,0.0478222
205,0.00019583,56,87.8841,0.465324,1,43.5485,80.1223,93.4641,-0.555467,0.0478222
206,0.0116844,9,72.1634,0.185492,1,51.0036,85.3401,63.0993,-0.566609,0.0478222
207,0.264881,10,53.1966,0.360213,0,26.4531,7.88755,55.8109,-0.557353,0.0478222
208,0.0271649,6,72.5725,0.182552,1,52.1652,79.6658,66.6916,-0.626135,0.0478222

Best eval with params:
eval (mc_estimate_expected_utility) = 0.0478222
smdents_entropy_temp_visits_scale = 0.173954
smbts_search_temp_decay_visits_scale = 87.4659
smbts_epsilon = 0.000355349
smbts_search_temp = 0.164143
smdents_entropy_temp_init = 10.4207
smbts_use_search_temp_decay = 1
sm_split_visit_thresh = 87
sm_l_inf_thresh = 0.437272
